"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-1-1","1","1","40m Geometry: Part 2 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-1-2","1","2","40m Geometry: Part 2 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-2-1","2","1","40m Geometry: Part 2 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-2-2","2","2","40m Geometry: Part 2 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-3-1","3","1","40m Geometry: Part 2 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-3-2","3","2","40m Geometry: Part 2 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-4-1","4","1","40m Geometry: Part 2 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-4-2","4","2","40m Geometry: Part 2 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-5-1","5","1","40m Geometry: Part 2 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-5-2","5","2","40m Geometry: Part 2 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-6-1","6","1","40m Geometry: Part 2 - Lesson 11","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-6-2","6","2","40m Geometry: Part 2 - Lesson 12","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-7-1","7","1","40m Geometry: Part 2 - Lesson 13","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-7-2","7","2","40m Geometry: Part 2 - Lesson 14","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-8-1","8","1","40m Geometry: Part 2 - Lesson 15","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-8-2","8","2","40m Geometry: Part 2 - Lesson 16","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-9-1","9","1","40m Geometry: Part 2 - Lesson 17","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-9-2","9","2","40m Geometry: Part 2 - Lesson 18","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-10-1","10","1","40m Geometry: Part 2 - Lesson 19","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-10-2","10","2","40m Geometry: Part 2 - Lesson 20","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-11-1","11","1","40m Geometry: Part 2 - Lesson 21","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-11-2","11","2","40m Geometry: Part 2 - Lesson 22","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-12-1","12","1","40m Geometry: Part 2 - Lesson 23","<p>➜ EXAMS<br>Answer question(s) related to course.</p>","","","Exam","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-12-2","12","2","40m Geometry: Part 2 - Lesson 24","<p>➜ EXAMS<br>Answer question(s) related to course.</p>","","","Exam","0","FALSE"
