"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6Ffq7trhpH9xN4","alveary-recbdmziJSIBhbBHZ","1","1","20m Historic Dancing - Lesson 1","<p>Sir Roger de Coverley</p><p>PREP: Watch instructional video to familiarize yourself with dance.  Print Sir Roger de Coverley Instructions PDF.</p><p>➜ INTRO<br>Sir Roger de Coverley is an English Country Dance originally published in _The Dancing Master_ in 1695.  It was widely danced in the 1700s and remained popular through the 1800s.  It is most famously found in Charles Dickens', _A Christmas Carol,_ at Fezziwig's ball.  It is a finishing dance that was commonly danced at the end of a ball where all attendees partnered up to close out the evening.  It promoted good humor among the company and caused them all to leave having great satisfaction with one another.  After the dance crossed the ocean and came over to America, it morphed into different variations and also became what we now know at the Virginia Reel.  You will recognize the structure and formations as they have similarities.</p><p>➜ VIEW<br>Watch the example of Sir Roger de Coverley. \*Please note that there are many versions of Sir Roger de Coverley.  Our example video differs from our instructional video.\*<br>∞ Video Link: Sir Roger de Coverley</p><p>➜ VIEW &amp; PRACTICE<br>Using Instructional Video, form pairs, designate diagonals, and learn Part 1 (meet in middle, right hand turn, left hand turn) without music.  Instructor will need to cue dancers and count in 6's.<br>\*It is often helpful for the students to remain with the same partner week to week while learning the piece.  Once mastered, they can change partners.\*<br>∞ Video Link: Instructional Sir Roger de Coverley<br>∞ Sir Roger de Coverley Instructions PDF</p><p>• EXTRA HELPING<br>https://www.kickery.com/2008/12/a-regency-sir-roger-de-coverley.html</p><p>• EXTRA HELPING<br>https://www.kickery.com/2013/12/victorian-sir-roger.html</p><p>• EXTRA HELPING<br>https://www.kickery.com/2019/12/shorter-victorian-sir-roger.html</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=1","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-recSwmaDIdT09y0yM","2","1","20m Historic Dancing - Lesson 2","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Review head couple , diagonal 1, and diagonal 2.  Review part 1 with diagonals (meet in middle, right hand turn, left hand).</p><p>➜ LEARN<br>Learn the rest of Part 1 (2 hand turn and dos-a-dos).</p><p>➜ PRACTICE<br>The entire Part 1 together without music.  <br>∞ Video Link: Instructional Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=2","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-recXpgWslCdKB5jXd","3","1","20m Historic Dancing - Lesson 3","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Entire Part 1.</p><p>➜ LEARN<br>Part 2 Weaving and Promenade/Cast off.</p><p>➜ PRACTICE<br>Parts 1 and 2 together without music.<br>∞ Video Link: Instructional Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=3","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-rechnPcMD7acoCR9C","4","1","20m Historic Dancing - Lesson 4","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Parts 1 and 2.</p><p>➜ PRACTICE<br>Parts 1 and 2 together without music.  <br>∞ Video Link: Instructional Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=4","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-recX0OCmLzVTIfjI6","5","1","20m Historic Dancing - Lesson 5","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Parts 1 and 2.</p><p>➜ LISTEN<br>To Sir Roger de Coverley music.  While listening, practice clapping together to a portion of the music and then counting together by 6's.  Go back to the beginning and practice counting the 6 count introduction so students learn the intro begins right away.</p><p>➜ PRACTICE<br>Parts 1 and 2 together with music.  Instructor must call dancers in and say, &quot;Remember to honor your partner (press play) 1, 2, 3, 4, 5, 6, Go!&quot;  \*It is helpful if instructor counts by 6's during dance ensuring students go in for 6 and out for 6.\*<br>∞ Video Link: Instructional Sir Roger de Coverley<br>∞ Music Link: Sir Roger de Coverley</p><p>\*\*A huge thanks to Bill Matthiesen from the musical group, Spare Parts, who generously shared the Sir Roger de Coverley music with the Alveary.  Please do not distribute or use music beyond the Alveary without permission.\*\*</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=5","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-reczTaXcgWrJRb9lJ","6","1","20m Historic Dancing - Lesson 6","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Parts 1 and 2.</p><p>➜ PRACTICE<br>Parts 1 and 2 together with music.  \*Remember to implement instructor's cues and counting from previous lesson.&quot;<br>∞ Video Link: Instructional Sir Roger de Coverley<br>∞ Music Link: Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=6","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-recnfOwxag3Ys8pGN","7","1","20m Historic Dancing - Lesson 7","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Parts 1 and 2 without music.</p><p>➜ PRACTICE<br>Parts 1 and 2 with music.<br>∞ Video Link: Instructional Sir Roger de Coverley<br>∞ Music Link: Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=7","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-recPaFJbJIqo7fgOF","8","1","20m Historic Dancing - Lesson 8","<p>Sir Roger de Coverley</p><p>➜ REVIEW<br>Parts 1 and 2 without music.</p><p>➜ DANCE<br>Entire dance with music.<br>∞ Video Link: Instructional Sir Roger de Coverley<br>∞ Music Link: Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=8","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-rect4pAkQetEt3GW1","9","1","20m Historic Dancing - Lesson 9","<p>Sir Roger de Coverley</p><p>➜ DANCE<br>Dance Sir Roger de Coverley from the beginning with music.  If mastered, students may change partners.<br>∞ Music Link: Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=9","Lesson","0","FALSE"
"alveary-rec6Ffq7trhpH9xN4","alveary-recn1i6nVnPytw70G","10","1","20m Historic Dancing - Lesson 10","<p>Sir Roger de Coverley</p><p>➜ DANCE<br>Dance Sir Roger de Coverley from the beginning with music.  If mastered, students may change partners.<br>∞ Music Link: Sir Roger de Coverley</p>","","https://planning.alveary.org/links.html?id=rec6Ffq7trhpH9xN4&term=1&week=10","Lesson","0","FALSE"
