"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recrSWSoC0yNwPHrT","alveary-recY7gajs76FmeY9C","1","1","30m Lit./Mythology: Grades 7-8 - Lesson 1","<p>Gertrudis Gómez de Avellaneda<br>⍞ Materials: Lightning Dreamer</p><p>➜ INTRO<br>Today we will begin a novel in verse about the Cuban-Spanish Romantic poet Gertrudis Gómez de Avellaneda (1814-1873) who used her writing to speak out against injustice of all kinds. If you have not read her biography already, it is linked below.<br>∞ Article Link: Biography of Gertrudis Gomez de Avellaneda</p><p>➜ READ, NARRATE &amp; DISCUSS<br>1. p.169-174 &quot;Historical Note&quot;<br>2. p.ix &quot;Historical Background&quot;<br>3. p.3-10 &quot;Books are door-shaped&quot; - &quot;like oxen or mules.&quot;</p><p>• Who are the people? Make a character list. Each week as you read, think about the different perspectives of the poems and how each one sees the same situation very differently. Share your observations in your narrations.</p><p>• How do the alternating viewpoints allow the poems to speak to each other? Look for poems that discuss the same topic but from different perspectives.</p><p>• EXTRA HELPING<br>∞ Link: What Are Free Verse Poems</p>","","https://planning.alveary.org/links.html?id=recrSWSoC0yNwPHrT&term=1&week=1","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recI2Sjg3uHub9lHL","2","1","30m Lit./Mythology: Grades 7-8 - Lesson 2","<p>Lightning Dreamer, cont.<br>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP<br>What were your first impressions of these poems?</p><p>➜ READ, NARRATE &amp; DISCUSS<br>p.11-24 &quot;I feel like a new person&quot; - &quot;dark or light.&quot;</p><p>• How are the nuns able to support Tula?<br>• How did Tula's father influence her, and how has his death shaped who she is at thirteen?<br>• Why does Tula feel she is not so different from the slave girls she views from the barred window? <br>• Continue to add to your character list.</p><p>• COMPOSITION<br>What role do books and reading have on the story so far? How are the &quot;rules&quot; different for Tula? Caridad? The nuns?</p><p>• EXTRA HELPING<br>∞ Link: José María Heredia biography</p>","","https://planning.alveary.org/links.html?id=recrSWSoC0yNwPHrT&term=1&week=2","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recwYuXxLjpsBzQqd","3","1","30m Lit./Mythology: Grades 7-8 - Lesson 3","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP   <br>How would you describe this book (so far) to someone who had never read it?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.25-35</p><p>• How do the decisions Tula's mother made differ from what she expects from Tula? What is your impression of her mother so far?<br>• Why does Tula feels she can free herself &quot;only with words&quot;? <br>• Why is Tula not allowed to read books? What are her mother and stepfather afraid of happening if she reads books?</p>","","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recuIZXvEa9qOMomV","4","1","30m Lit./Mythology: Grades 7-8 - Lesson 4","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP <br>What did we learn about Tula's situation in the last chapter? What does her future hold?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.39-55</p><p>• What have we learned about Caridad and why she might not want to share stories of her childhood?<br>• What need does the orphan theater fill for Tula? Why does she have to change the stories her plays tell?</p>","","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recBxlAxCj4Hcho8L","5","1","30m Lit./Mythology: Grades 7-8 - Lesson 5","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP <br>What do you remember about the orphan theater?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.56-70</p><p>• What was Manuel's concern in this chapter? Is it for Tula? Or himself? <br>• How does reading about injustice differ from actually experiencing it for Tula?</p>","","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-rec5J07dedEiBrkT1","6","1","30m Lit./Mythology: Grades 7-8 - Lesson 6","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP <br>What injustice does Tula experience in the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.73-90</p><p>• Has your impression of Tula's mother changed at all throughout the story? <br>• Do Manuel's actions change your perception of him? How has he supported Tula throughout the story?</p><p>• COMPOSITION<br>Compare the concerns of Tula, Manuel, Caridad, Mama, and the Nuns in pages 73-83. Are they justified or not given the time and setting?</p>","<p>★ TEACHER NOTE<br>The tertulias brought people together in quiet defiance. They were often political rebellion disguised as parties; a way of sharing counterculture ideas in places where fascist regimes had made it dangerous, even illegal, to gather.</p>","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recS3nXrlT8whXXau","7","1","30m Lit./Mythology: Grades 7-8 - Lesson 7","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP<br>What risks were Tula and Manuel taking in the last reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.90-109</p><p>• How does Tula learn to hide her messages? <br>• What are some of the acts of defiance and courage in the book so far and what are their consequences? <br>• Why does Mama imagine their lives will be peaceful and prosperous once Tula is married? Do you think she's right?</p>","","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recMJCcS5LJLhYs00","8","1","30m Lit./Mythology: Grades 7-8 - Lesson 8","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP <br>What do you think will happen next?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>p.113-127</p><p>• Why can't Tula write even though she now has a degree of freedom with her Uncle gone? <br>• Why does Tula leave the plantation even though she's now left alone there?</p>","","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recVpCrIAcwqoC61V","9","1","30m Lit./Mythology: Grades 7-8 - Lesson 9","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP <br>What was plantation life like for Tula with her Uncle gone?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.128-144</p><p>• What happens when some of Tula's fantasies about love meet reality? <br>• What things do Sab and Tula have in common despite their differences? What insights does Sab's godmother give them?</p><p>• COMPOSITION<br>Explore how Sab and Tula are reflections of each other's freedom dreams. How are their dreams alike? Different?</p>","","","Lesson","0","FALSE"
"alveary-recrSWSoC0yNwPHrT","alveary-recuuAxb1NAk8RPxC","10","1","30m Lit./Mythology: Grades 7-8 - Lesson 10","<p>⍞ Materials: Lightning Dreamer</p><p>➜ RECAP <br>What do you remember of Sab's story?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.145-159</p><p>• Why do you think Tula finally reads her verses in public? <br>• What do you think will happen after Manuel tells Tula what Mama has planned?</p>","","","Lesson","0","FALSE"
