"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recSP6mw5A7XvgxKN","alveary-rec9WbvI1Y8a2VRow","1","1","60m Geology Labs - Lesson 1","<p>➜ OBSERVE <br>Begin observations in the field: use your field notebook, collect specimens when allowed, and take pictures where helpful.  Begin building a rock, mineral, and/or fossil collection.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recF15dpDZ3UH6C9s","2","1","60m Geology Labs - Lesson 2","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-rec9uAKKpyIBbayjj","3","1","60m Geology Labs - Lesson 3","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-rec8UwmZ8xmFbqaHm","4","1","60m Geology Labs - Lesson 4","<p>➜ OBSERVE<br>When you are driving around, start noticing where there are exposed rocks in your landscape. Take note of road beds that had to be cut out of the ground.  Make observations of what you are seeing in your notebook.  Include sketches when you are able.  If there are any rivers, creeks, streams, etc. nearby, observe what sort of soil/rock has been exposed in the banks.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recPwHv6UBk8pTqrt","5","1","60m Geology Labs - Lesson 5","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-rec9FlMwMTXJiiG97","6","1","60m Geology Labs - Lesson 6","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recCWrdnFNbOnVUen","7","1","60m Geology Labs - Lesson 7","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recrV8TLjodxjWuRO","8","1","60m Geology Labs - Lesson 8","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-rec8OGYVIDcwjcdwK","9","1","60m Geology Labs - Lesson 9","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-rec3a6l5dj59OypuK","10","1","60m Geology Labs - Lesson 10","<p>➜ OBSERVE <br>Continue your local exploration, collection, and documentation.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recopeDKAtz1CEmw0","11","1","60m Geology Labs - Lesson 11","<p>➜ OBSERVE <br>Continue your local exploration, collection, and documentation.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recXdpyJsDhka5uIm","12","1","60m Geology Labs - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recmv9v7yuKabaj89","13","1","60m Geology Labs - Lesson 13","<p>➜ OBSERVE <br>Continue to use this time to explore your local geology.  Continue sketching, describing, and documenting.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recn6ftkD6KqDZSab","14","1","60m Geology Labs - Lesson 14","<p>➜ OBSERVE <br>Continue to use this time to explore your local geology.  Continue building a rock, mineral, and/or fossil collection.  Continue sketching, describing, and documenting.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recX1U3PCwnFChxPk","15","1","60m Geology Labs - Lesson 15","<p>➜ OBSERVE <br>Continue to use this time to explore your local geology.  Continue building a rock, mineral, and/or fossil collection.  Continue sketching, describing, and documenting.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recYD8ROCxPZFecGZ","16","1","60m Geology Labs - Lesson 16","<p>➜ OBSERVE <br>Continue to notice where there are exposed rocks in your landscape. Take note of road beds that had to be cut out of the ground. Make observations of what you are seeing in your notebook. Include sketches when you are able. If there are any rivers, creeks, streams, etc. nearby, observe what sort of soil/rock has been exposed in the banks.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recu3KtC0E7H1jmOc","17","1","60m Geology Labs - Lesson 17","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recxCm7JLIynyyTzc","18","1","60m Geology Labs - Lesson 18","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recIHRKDcHiGrNYfX","19","1","60m Geology Labs - Lesson 19","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recgqkaxGwYUJnJ1J","20","1","60m Geology Labs - Lesson 20","<p>➜ OBSERVE <br>Continue your local exploration, collection, and documentation.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recf62B5t2QNH9mnC","21","1","60m Geology Labs - Lesson 21","<p>➜ OBSERVE <br>Continue your local exploration, collection, and documentation.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recaCj3ZuzqyFy984","22","1","60m Geology Labs - Lesson 22","<p>➜ OBSERVE <br>Continue your local exploration, collection, and documentation.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recfWbAZFqRClD5AL","23","1","60m Geology Labs - Lesson 23","<p>➜ OBSERVE <br>Continue your local exploration, collection, and documentation.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recGcRsMgjZDNCzrI","24","1","60m Geology Labs - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-reccwbP3uOVQvDjz5","25","1","60m Geology Labs - Lesson 25","<p>➜ OBSERVE<br>Continue to use this time to explore your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-rechXwU7NI0mzN8Px","26","1","60m Geology Labs - Lesson 26","<p>➜ OBSERVE<br>Continue to use this time to explore your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recVt6rXypUiFLcDS","27","1","60m Geology Labs - Lesson 27","<p>➜ OBSERVE<br>Continue to use this time to explore your local geology.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recCfu6BpSUk2XKhn","28","1","60m Geology Labs - Lesson 28","<p>➜ OBSERVE <br>Continue to notice where there are exposed rocks in your landscape. Take note of road beds that had to be cut out of the ground. Make observations of what you are seeing in your notebook. Include sketches when you are able. If there are any rivers, creeks, streams, etc. nearby, observe what sort of soil/rock has been exposed in the banks.</p>","","","Lab","0","FALSE"
"alveary-recSP6mw5A7XvgxKN","alveary-recGNs5571HITNpJY","29","1","60m Geology Labs - Lesson 29","<p>➜ OBSERVE <br>Continue observations in the field.  Sketch, describe, and document your local geology.</p>","","","Lab","0","FALSE"
